condition,policy,switch_latency,episodes,safe_success_rate,final_success_rate,harmful_contact_rate,late_switch_rate,early_false_switch_rate,mean_impulse,p90_impulse,mean_regret
late_cue,contact_reactive,0.0,360,1,0.96111,0,0,0,0.18411,0.22252,0.00828
late_cue,contact_reactive,0.03,360,0.3,0.46667,0.7,0.7,0,1.03951,1.62596,0.85842
late_cue,contact_reactive,0.06,360,0.23611,0.375,0.76389,0.76389,0,1.16183,1.6961,0.98112
late_cue,contact_reactive,0.09,360,0.27222,0.31667,0.72778,0.72778,0,1.15327,1.76316,0.97293
late_cue,contact_reactive,0.12,360,0.25278,0.28889,0.74722,0.74722,0,1.20974,1.79748,1.02894
late_cue,fixed_nominal,0.0,360,0.25556,0.26389,0.74444,0.74444,0,1.03779,1.54959,0.85708
late_cue,fixed_nominal,0.03,360,0.24167,0.26389,0.75833,0.75833,0,1.1047,1.63375,0.92394
late_cue,fixed_nominal,0.06,360,0.25556,0.27778,0.74444,0.74444,0,1.12182,1.67545,0.94073
late_cue,fixed_nominal,0.09,360,0.26111,0.26944,0.73889,0.73889,0,1.16909,1.74247,0.98813
late_cue,fixed_nominal,0.12,360,0.21389,0.24444,0.78611,0.78611,0,1.24919,1.74708,1.06765
late_cue,guard_contract,0.0,360,0.64722,0.63333,0.35278,0.34722,0.00556,0.58309,1.41404,0.40532
late_cue,guard_contract,0.03,360,0.21389,0.25,0.78611,0.78611,0,1.13666,1.60569,0.95501
late_cue,guard_contract,0.06,360,0.29167,0.30278,0.70833,0.70833,0,1.07359,1.64985,0.89282
late_cue,guard_contract,0.09,360,0.25556,0.25833,0.74444,0.74444,0,1.1591,1.73866,0.97744
late_cue,guard_contract,0.12,360,0.25278,0.25278,0.74722,0.74722,0,1.20651,1.76194,1.02515
late_cue,oracle_precontact,0.0,360,1,0.96389,0,0,0,0.18311,0.22283,0.00797
late_cue,oracle_precontact,0.03,360,1,0.97222,0,0,0,0.18267,0.21887,0.00709
late_cue,oracle_precontact,0.06,360,1,0.95556,0,0,0,0.18388,0.22758,0.00901
late_cue,oracle_precontact,0.09,360,1,0.93056,0,0,0,0.18528,0.22738,0.00901
late_cue,oracle_precontact,0.12,360,1,0.96667,0,0,0,0.18415,0.22004,0.00786
late_cue,posterior_only,0.0,360,0.98333,0.93056,0.01667,0.06111,0.01667,0.19595,0.22035,0.02063
late_cue,posterior_only,0.03,360,0.30278,0.325,0.69722,0.7,0.00278,1.02846,1.60201,0.84789
late_cue,posterior_only,0.06,360,0.24722,0.25278,0.75278,0.76667,0,1.14007,1.67852,0.95917
late_cue,posterior_only,0.09,360,0.22222,0.23889,0.77778,0.78333,0,1.19393,1.69131,1.01286
late_cue,posterior_only,0.12,360,0.275,0.28333,0.725,0.73611,0,1.18476,1.77894,1.00425
normal,contact_reactive,0.0,360,1,0.95556,0,0,0,0.1819,0.22109,0.00706
normal,contact_reactive,0.03,360,0.26667,0.43333,0.73333,0.73333,0,1.08001,1.61448,0.89911
normal,contact_reactive,0.06,360,0.22778,0.36389,0.77222,0.77222,0,1.16056,1.68067,0.98007
normal,contact_reactive,0.09,360,0.26111,0.33056,0.73889,0.73889,0,1.16999,1.76377,0.98915
normal,contact_reactive,0.12,360,0.26944,0.31111,0.73056,0.73056,0,1.1802,1.74324,0.99904
normal,fixed_nominal,0.0,360,0.23611,0.30833,0.76389,0.76389,0,1.06406,1.56327,0.8828
normal,fixed_nominal,0.03,360,0.25833,0.3,0.74167,0.74167,0,1.08031,1.63243,0.89929
normal,fixed_nominal,0.06,360,0.27778,0.28611,0.72222,0.72222,0,1.09682,1.67646,0.91587
normal,fixed_nominal,0.09,360,0.22778,0.23056,0.77222,0.77222,0,1.19233,1.70239,1.0113
normal,fixed_nominal,0.12,360,0.23889,0.25,0.76111,0.76111,0,1.22571,1.78582,1.04495
normal,guard_contract,0.0,360,0.975,0.94722,0.025,0.00833,0.025,0.20382,0.22689,0.02934
normal,guard_contract,0.03,360,0.98889,0.94444,0.01111,0.00278,0.01111,0.19393,0.22132,0.01907
normal,guard_contract,0.06,360,0.98333,0.93889,0.01667,0.00278,0.01667,0.19799,0.22753,0.0227
normal,guard_contract,0.09,360,0.96944,0.93056,0.03056,0.00556,0.03056,0.21019,0.22839,0.03478
normal,guard_contract,0.12,360,0.89167,0.85,0.10833,0.09722,0.01667,0.33206,1.16716,0.1558
normal,oracle_precontact,0.0,360,1,0.95,0,0,0,0.18321,0.22107,0.00799
normal,oracle_precontact,0.03,360,1,0.96389,0,0,0,0.18316,0.2188,0.00782
normal,oracle_precontact,0.06,360,1,0.96389,0,0,0,0.18489,0.22367,0.00944
normal,oracle_precontact,0.09,360,1,0.96389,0,0,0,0.18206,0.22259,0.00754
normal,oracle_precontact,0.12,360,1,0.95833,0,0,0,0.18374,0.22156,0.00814
normal,posterior_only,0.0,360,0.98056,0.96111,0.01944,0.00278,0.01944,0.19902,0.22558,0.02285
normal,posterior_only,0.03,360,0.96667,0.93056,0.03333,0.00556,0.03333,0.21336,0.22751,0.03708
normal,posterior_only,0.06,360,0.98889,0.95556,0.01111,0.00556,0.01111,0.19467,0.22264,0.01984
normal,posterior_only,0.09,360,0.97778,0.94444,0.02222,0.00278,0.01944,0.20445,0.22503,0.02916
normal,posterior_only,0.12,360,0.89444,0.86667,0.10556,0.10278,0.01944,0.32949,1.26332,0.15308
weak_cue,contact_reactive,0.0,360,1,0.96111,0,0,0,0.18276,0.2205,0.00754
weak_cue,contact_reactive,0.03,360,0.25556,0.43889,0.74444,0.74444,0,1.09333,1.63202,0.91288
weak_cue,contact_reactive,0.06,360,0.28611,0.40556,0.71389,0.71389,0,1.08618,1.64918,0.90551
weak_cue,contact_reactive,0.09,360,0.21667,0.29444,0.78333,0.78333,0,1.22681,1.75114,1.0456
weak_cue,contact_reactive,0.12,360,0.26667,0.28333,0.73333,0.73333,0,1.19168,1.7905,1.01104
weak_cue,fixed_nominal,0.0,360,0.29167,0.33056,0.70833,0.70833,0,1.00073,1.54459,0.81965
weak_cue,fixed_nominal,0.03,360,0.27778,0.30833,0.72222,0.72222,0,1.06582,1.64273,0.88489
weak_cue,fixed_nominal,0.06,360,0.22222,0.25,0.77778,0.77778,0,1.16862,1.69256,0.98748
weak_cue,fixed_nominal,0.09,360,0.23889,0.25556,0.76111,0.76111,0,1.18103,1.75552,0.99983
weak_cue,fixed_nominal,0.12,360,0.25833,0.26389,0.74167,0.74167,0,1.19738,1.77778,1.0164
weak_cue,guard_contract,0.0,360,0.94722,0.91111,0.05278,0.01944,0.04722,0.22611,0.22295,0.05126
weak_cue,guard_contract,0.03,360,0.90833,0.87778,0.09167,0.05833,0.05,0.27731,0.24342,0.10235
weak_cue,guard_contract,0.06,360,0.76389,0.73333,0.23611,0.19167,0.05833,0.47337,1.47881,0.29641
weak_cue,guard_contract,0.09,360,0.51944,0.525,0.48056,0.46944,0.01667,0.83036,1.73048,0.65166
weak_cue,guard_contract,0.12,360,0.42778,0.43056,0.57222,0.56667,0.00556,0.96987,1.74896,0.79036
weak_cue,oracle_precontact,0.0,360,1,0.94722,0,0,0,0.18172,0.21741,0.00731
weak_cue,oracle_precontact,0.03,360,1,0.95833,0,0,0,0.18353,0.22293,0.00833
weak_cue,oracle_precontact,0.06,360,1,0.97778,0,0,0,0.18115,0.2228,0.00688
weak_cue,oracle_precontact,0.09,360,1,0.95833,0,0,0,0.18271,0.22339,0.0082
weak_cue,oracle_precontact,0.12,360,1,0.94722,0,0,0,0.18362,0.22637,0.00835
weak_cue,posterior_only,0.0,360,0.96944,0.91111,0.03056,0.01111,0.03056,0.20757,0.22685,0.03217
weak_cue,posterior_only,0.03,360,0.94167,0.90833,0.05833,0.03611,0.02222,0.24329,0.23365,0.06774
weak_cue,posterior_only,0.06,360,0.75833,0.72778,0.24167,0.23333,0.01667,0.4929,1.49523,0.31616
weak_cue,posterior_only,0.09,360,0.51667,0.51111,0.48333,0.48889,0.01111,0.83916,1.71056,0.65989
weak_cue,posterior_only,0.12,360,0.44167,0.44722,0.55833,0.57778,0.01389,0.96224,1.80292,0.78326
